ProductID,ProductName,Description,UnitPrice,QuantityInStock,Manufacturer,CategoryID,Weight,Dimensions,ReleaseDate
17,Bluetooth Mouse,Wireless mouse with ergonomic design,29,2000,Input Devices Ltd.,13,0.08,4.1x2.3x1.4 inches,2023-01-20
18,USB Flash Drive 128GB,Compact storage device for transferring files,19,2500,Storage Solutions,10,0.02,2.2x0.8x0.3 inches,2023-03-05
19,Smart Thermostat,Programmable thermostat for energy efficiency,129,1000,HomeTech Ltd.,14,0.4,3.3x3.3x1.1 inches,2023-02-15
20,Wireless Charging Pad,Fast-charging pad for compatible devices,39,3000,PowerTech Inc.,15,0.15,3.9x3.9x0.4 inches,2023-04-30
21,Power Bank 10000mAh,Portable charger for smartphones and tablets,49,2500,PowerTech Inc.,15,0.3,5.8x2.8x0.5 inches,2023-01-05
22,Smart Doorbell,Video doorbell with motion detection and two-way audio,179,800,SecureTech,5,0.4,4.8x2.4x1.1 inches,2023-03-20
23,Wireless Keyboard,Compact keyboard with wireless connectivity,39,1500,Input Devices Ltd.,13,0.5,11.1x5.1x0.6 inches,2023-02-10
24,VR Headset,Virtual reality headset for immersive gaming and experiences,299,600,VirtualTech,16,0.8,7.7x6.5x4.1 inches,2023-05-25
25,Digital Camera 24MP,High-resolution digital camera for photography enthusiasts,499,400,CameraTech Ltd.,17,1.2,5.2x3.7x2.8 inches,2023-03-10
26,Compact Drone HD Camera,Compact drone with HD camera for aerial photography,299,300,FlyTech,18,0.5,9.5x7.1x2.0 inches,2023-01-15
27,Smart Lock,Keyless entry smart lock with remote access,199,700,SecureTech,5,0.6,4.8x2.6x1.0 inches,2023-02-28
28,Wireless Webcam HD,HD webcam for video conferencing and streaming,79,1500,Connectivity Solutions,12,0.2,3.7x2.4x1.1 inches,2023-04-05
29,Wireless Presenter,Wireless presenter remote for presentations,29,2000,Input Devices Ltd.,13,0.05,4.1x1.1x0.8 inches,2023-01-20
30,Wireless Charging Stand,Charging stand for smartphones with wireless charging capability,59,1800,PowerTech Inc.,15,0.3,4.3x3.3x4.3 inches,2023-03-15
31,Portable SSD 1TB,Portable solid-state drive for high-speed data transfer,199,1000,Storage Solutions,10,0.1,3.9x2.3x0.3 inches,2023-05-05
32,Wireless Charging Car Mount,Car mount with wireless charging for smartphones,69,1200,PowerTech Inc.,15,0.3,5.9x3.3x2.6 inches,2023-06-10
33,Smart Plug,Smart plug for remote control of electronic devices,29,2500,HomeTech Ltd.,14,0.1,2.8x1.5x1.5 inches,2023-05-20
34,Smart Scale,Smart scale for tracking weight and body composition,49,1500,Wearables Inc.,7,3,12.0x12.0x1.0 inches,2023-06-25
35,Bluetooth FM Transmitter,FM transmitter for streaming music from smartphones,19,2000,Connectivity Solutions,12,0.05,4.7x2.4x1.2 inches,2023-07-05
36,Wireless Charging Mouse Pad,Mouse pad with built-in wireless charging,39,1800,Input Devices Ltd.,13,0.4,11.8x8.7x0.3 inches,2023-05-30
37,Bluetooth Car Kit,Bluetooth car kit for hands-free calling and music streaming,39,1500,Connectivity Solutions,12,0.1,4.3x2.3x0.5 inches,2023-06-15
38,Smart LED Bulb,Smart LED bulb with remote control and dimming,19,3000,HomeTech Ltd.,14,0.2,4.7x2.4x2.4 inches,2023-06-20
39,Wireless Charging Power Strip,Power strip with wireless charging capabilities,59,1000,PowerTech Inc.,15,1,10.6x3.9x1.2 inches,2023-06-30
40,Bluetooth FM Radio,Portable FM radio with Bluetooth connectivity,29,2000,AudioTech,4,0.3,6.3x3.5x1.5 inches,2023-07-10
41,Wireless Charging Desk Lamp,Desk lamp with built-in wireless charging pad,79,800,HomeTech Ltd.,14,2,15.7x5.9x5.9 inches,2023-07-15
42,Portable CD Player,Portable CD player with anti-skip protection,49,1200,AudioTech,4,0.5,5.6x5.6x1.1 inches,2023-07-20
43,Bluetooth Adapter USB,Bluetooth adapter for adding wireless connectivity to devices,9,3000,Connectivity Solutions,12,0.02,0.9x0.6x0.3 inches,2023-07-25
44,Smart Door Sensor,Smart door sensor for home security systems,19,2000,SecureTech,5,0.1,3.2x1.3x0.8 inches,2023-08-05
45,USB-C Hub,USB-C hub for expanding connectivity options,29,1500,Connectivity Solutions,12,0.05,3.7x1.1x0.4 inches,2023-08-10
46,Wireless Charging Alarm Clock,Alarm clock with wireless charging pad,39,1000,HomeTech Ltd.,14,0.5,4.5x3.7x3.7 inches,2023-08-15
47,Portable Bluetooth Karaoke Machine,Portable karaoke machine with Bluetooth connectivity,79,700,AudioTech,4,5,12.9x8.3x8.3 inches,2023-08-20
48,Smart Pet Feeder,Smart pet feeder for scheduled feeding and portion control,99,800,HomeTech Ltd.,14,1.5,9.8x8.7x15.4 inches,2023-08-25
49,Wireless Charging Nightstand,Nightstand with built-in wireless charging,89,600,HomeTech Ltd.,14,10,21.7x15.4x23.6 inches,2023-08-30
50,Bluetooth Shower Speaker,Waterproof Bluetooth speaker for shower and outdoor use,29,2000,AudioTech,4,0.2,3.5x3.5x2.0 inches,2023-09-05
51,Smart Refrigerator,Refrigerator with smart features and touchscreen display,1499,400,HomeTech Ltd.,14,200,70x35x30 inches,2023-09-10
52,Portable Projector,Compact projector for presentations and entertainment,299,1000,VisualTech,19,2,8.1x6.3x3.1 inches,2023-09-15
53,Smart Ceiling Fan,Smart ceiling fan with remote control and voice assistant integration,199,800,HomeTech Ltd.,14,20,52x52x12 inches,2023-09-20
54,Wireless Charging Backpack,Laptop backpack with built-in wireless charging,79,1200,TravelTech,20,2,18x12x7 inches,2023-09-25
55,Bluetooth Trackers (Pack of 4),Tracker devices for locating keys, wallets, and other items,39,2500,Connectivity Solutions,12,0.05,1.4x1.4x0.3 inches,2023-09-30
56,Smart Kitchen Scale,Smart kitchen scale for precise measurements and calorie tracking,49,1000,HomeTech Ltd.,14,2,9x6x0.8 inches,2023-10-05
57,Wireless Charging Desk Organizer,Desk organizer with built-in wireless charging pad,59,800,HomeTech Ltd.,14,2,9.8x5.9x4.7 inches,2023-10-10
58,Bluetooth Beanies,Beanies with built-in Bluetooth headphones for wireless music,29,1500,AudioTech,4,0.2,9.8x8.7x1.2 inches,2023-10-15
59,Smart Water Bottle,Smart water bottle with hydration tracking and reminders,39,1200,Wearables Inc.,7,0.5,10x3x3 inches,2023-10-20
60,Wireless Charging Mouse,Wireless mouse with built-in wireless charging pad,49,1000,Input Devices Ltd.,13,0.1,4.5x2.5x1.5 inches,2023-10-25
61,Portable Bluetooth Speaker (Waterproof),Waterproof portable speaker with Bluetooth connectivity,59,800,AudioTech,4,0.8,7x3x3 inches,2023-10-30
62,Bluetooth Shower Head,Shower head with built-in Bluetooth speaker for music playback,99,600,HomeTech Ltd.,14,2,8x8x4 inches,2023-11-05
63,Smart Plug Power Strip,Power strip with smart plugs for remote control of devices,69,1000,HomeTech Ltd.,14,1.5,10x4x2 inches,2023-11-10
64,Bluetooth Beanie with LED Light,Beanie with built-in Bluetooth headphones and LED light,39,1200,AudioTech,4,0.3,9x8x1 inches,2023-11-15
65,Wireless Charging Bedside Lamp,Bedside lamp with built-in wireless charging pad,79,800,HomeTech Ltd.,14,3,8x8x16 inches,2023-11-20
66,Bluetooth Bike Speaker,Water-resistant Bluetooth speaker for outdoor activities,49,1000,AudioTech,4,0.4,6x6x2 inches,2023-11-25
67,Smart Curtain Controller,Smart device for controlling curtains remotely,59,800,HomeTech Ltd.,14,0.2,3x3x1 inches,2023-11-30
68,Wireless Charging Desk Clock,Desk clock with built-in wireless charging pad,49,1000,HomeTech Ltd.,14,1,5x5x1 inches,2023-12-05
69,Bluetooth Sunglasses,Sunglasses with built-in Bluetooth headphones for music playback,79,600,AudioTech,4,0.1,6x6x2 inches,2023-12-10
70,Wireless Charging Laptop Stand,Laptop stand with built-in wireless charging pad,99,800,HomeTech Ltd.,14,5,15x10x5 inches,2023-12-15
71,Smart Plant Pot,Plant pot with built-in sensors for monitoring plant health,39,1000,HomeTech Ltd.,14,1,6x6x6 inches,2023-12-20
72,Wireless Charging Wall Clock,Wall clock with built-in wireless charging pad,59,800,HomeTech Ltd.,14,2,12x12x2 inches,2023-12-25
73,Bluetooth Umbrella,Umbrella with built-in Bluetooth speaker for music playback,49,600,AudioTech,4,1,36x36x24 inches,2023-12-30
74,Smart Refrigerator,Refrigerator with smart features and touchscreen display,1499,400,HomeTech Ltd.,14,200,70x35x30 inches,2024-01-05
75,Portable Projector,Compact projector for presentations and entertainment,299,1000,VisualTech,19,2,8.1x6.3x3.1 inches,2024-01-10
76,Smart Ceiling Fan,Smart ceiling fan with remote control and voice assistant integration,199,800,HomeTech Ltd.,14,20,52x52x12 inches,2024-01-15
77,Wireless Charging Backpack,Laptop backpack with built-in wireless charging,79,1200,TravelTech,20,2,18x12x7 inches,2024-01-20
78,Bluetooth Trackers (Pack of 4),Tracker devices for locating keys, wallets, and other items,39,2500,Connectivity Solutions,12,0.05,1.4x1.4x0.3 inches,2024-01-25
79,Smart Kitchen Scale,Smart kitchen scale for precise measurements and calorie tracking,49,1000,HomeTech Ltd.,14,2,9x6x0.8 inches,2024-01-30
80,Wireless Charging Desk Organizer,Desk organizer with built-in wireless charging pad,59,800,HomeTech Ltd.,14,2,9.8x5.9x4.7 inches,2024-02-05
81,Bluetooth Beanies,Beanies with built-in Bluetooth headphones for wireless music,29,1500,AudioTech,4,0.2,9.8x8.7x1.2 inches,2024-02-10
82,Smart Water Bottle,Smart water bottle with hydration tracking and reminders,39,1200,Wearables Inc.,7,0.5,10x3x3 inches,2024-02-15
83,Wireless Charging Mouse,Wireless mouse with built-in wireless charging pad,49,1000,Input Devices Ltd.,13,0.1,4.5x2.5x1.5 inches,2024-02-20
84,Portable Bluetooth Speaker (Waterproof),Waterproof portable speaker with Bluetooth connectivity,59,800,AudioTech,4,0.8,7x3x3 inches,2024-02-25
85,Bluetooth Shower Head,Shower head with built-in Bluetooth speaker for music playback,99,600,HomeTech Ltd.,14,2,8x8x4 inches,2024-03-01
86,Smart Plug Power Strip,Power strip with smart plugs for remote control of devices,69,1000,HomeTech Ltd.,14,1.5,10x4x2 inches,2024-03-05
87,Bluetooth Beanie with LED Light,Beanie with built-in Bluetooth headphones and LED light,39,1200,AudioTech,4,0.3,9x8x1 inches,2024-03-10
88,Wireless Charging Bedside Lamp,Bedside lamp with built-in wireless charging pad,79,800,HomeTech Ltd.,14,3,8x8x16 inches,2024-03-15
89,Bluetooth Bike Speaker,Water-resistant Bluetooth speaker for outdoor activities,49,1000,AudioTech,4,0.4,6x6x2 inches,2024-03-20
90,Smart Curtain Controller,Smart device for controlling curtains remotely,59,800,HomeTech Ltd.,14,0.2,3x3x1 inches,2024-03-25
91,Wireless Charging Desk Clock,Desk clock with built-in wireless charging pad,49,1000,HomeTech Ltd.,14,1,5x5x1 inches,2024-03-30
92,Bluetooth Sunglasses,Sunglasses with built-in Bluetooth headphones for music playback,79,600,AudioTech,4,0.1,6x6x2 inches,2024-04-05
93,Wireless Charging Laptop Stand,Laptop stand with built-in wireless charging pad,99,800,HomeTech Ltd.,14,5,15x10x5 inches,2024-04-10
94,Smart Plant Pot,Plant pot with built-in sensors for monitoring plant health,39,1000,HomeTech Ltd.,14,1,6x6x6 inches,2024-04-15
95,Wireless Charging Wall Clock,Wall clock with built-in wireless charging pad,59,800,HomeTech Ltd.,14,2,12x12x2 inches,2024-04-20
96,Bluetooth Umbrella,Umbrella with built-in Bluetooth speaker for music playback,49,600,AudioTech,4,1,36x36x24 inches,2024-04-25
97,Smart Refrigerator,Refrigerator with smart features and touchscreen display,1499,400,HomeTech Ltd.,14,200,70x35x30 inches,2024-04-30
98,Portable Projector,Compact projector for presentations and entertainment,299,1000,VisualTech,19,2,8.1x6.3x3.1 inches,2024-05-05
99,Smart Ceiling Fan,Smart ceiling fan with remote control and voice assistant integration,199,800,HomeTech Ltd.,14,20,52x52x12 inches,2024-05-10
100,Wireless Charging Backpack,Laptop backpack with built-in wireless charging,79,1200,TravelTech,20,2,18x12x7 inches,2024-05-15
